Tripadvisor,description,address,Excelente,Muybueno,Normal,Malo,Pesimo
Puerta del Sol,"This bustling square located bang in the centre of Madrid is one of the city&rsquo;s most famous sites. With its semi-circular shape, it is a junction for many of the city&rsquo;s historical and busiest streets such as Mayor, Arenal, Alcalá and Preciados, as well as the starting point for all major radial roads in Spain. Originally the site of one of the city&rsquo;s gates, Puerta del Sol should be at the top of your list of places to visit. Sitting atop the Casa de Correos building, the current headquarters of the Madrid regional government, you&rsquo;ll find the famous clock that all eyes turn to on the last day of the year. For over a century now tradition has it that people across the country usher in the New Year by eating 12 lucky grapes to the twelve chimes of midnight struck by this clock.A stone slab on the pavement in front of the main entrance to the Casa de Correos marks Spain&rsquo;s Kilometre 0, the starting point for all major radial roads in Spain. Across the square, at the beginning of Calle Alcalá, Madrid&rsquo;s longest street, you&rsquo;ll find the famous Oso y Madroño. The official symbol of the city, the statue of a bear nuzzling a strawberry tree is a popular meeting spot for Madrileños.On the other side of the square, at the start of Calle Arenal which leads to the Teatro Real opera house, stands a copy of La Mariblanca statue. The original, which dates back to the 17th century and once adorned a fountain in this very spot, is now stored in Casa de la Villa. Puerta del Sol&rsquo;s third and largest statue is found in the centre of the square and depicts King Charles III of Spain on horseback. During his reign, the monarch introduced so many progressive reforms and gave the city such a makeover that he earned the moniker Madrid&rsquo;s best mayor.","Puerta del Sol, 28013 Madrid, España",2518,2089,925,168,64
Plaza de la Villa,"Plaza de la Villa is one of Madrid&rsquo;s best-preserved historical monuments. It is located in the historical zone, next to the Puerta del Sol Gate, and up until not long ago, you could find there the site of the capital City Council. It was one of the main medieval centers of Madrid, since three streets start there, corresponding to the original city design: Codo, Cordón and Madrid. In its outskirts are the main façades of three buildings with high historical-artistic value, built in different centuries. The oldest one is The Lujanes&rsquo; House and Tower (15th century), built with a Gothic-Mudejar style, located on the eastern side of the Plaza. This is now the office of the Academy of Moral and Political Sciences. Following in chronological order, one can see the Cisneros&rsquo; House (16th century), a Plateresque palace completing the southern part of the enclosure, and the Casa de la Villa (17th century), with a Baroque style, one of the sites of the Madrid City Council, situated on the western side of the Plaza.&nbsp;In the 15th century, the Plaza adopted its current name, at the same time receiving the title of Noble and Loyal Villa from by Madrid, from the King Henry IV of Castile himself (1425-1474). On the three hundredth anniversary of Admiral Don Álvaro de Bazán&rsquo;s (1526-1588) death, in 1888, the City Council decided to build a monument in his memory. However, it was not inaugurated until December, 19th, 1891. Since then, it has been located in the center of the Plaza, and nowadays it is surrounded by a large ornamental flower garden.","Calle Mayor, Madrid, España",110,141,46,2,0
Fuente de Neptuno,"Together with Cibeles Fountain, Neptuno Fountain is one of the most beautiful and majestic fountains in Madrid. Both gods occupy prominent positions within Greek mythological hierarchy and are rivals on the sports field, since the followers of Atlético de Madrid celebrate their victories in the square that plays tribute to&nbsp;the god of the sea, while those of Real Madrid do so in the Plaza de la Cibeles. As part of the original project of Ventura Rodríguez, both fountains were placed facing each other on either side of the Paseo del Prado. At the end of the 19th century, both Cibeles and Neptuno underwent a restoration process and were moved, finally occupying the centre of the squares Plaza de la Cibeles and Plaza de Cánovas del Castillo, respectively.The authorship of the sculpture is not very clear, since it was commissioned to sculptor Juan Pascual de Mena, who died before the completion of the piece; however, documents exist which indicate the work was continued by his apprentice José Arias. Regarding the whole monument, a carriage in the form of a shell emerges from a rocky base and is pulled by two hippocampi, symbol of storms and agitated sea. The sculpture represents the god of the sea with his trident upon a chariot, pulled by two sea horses.Together with the fountain of Apolo, or the Four Seasons, and that of Cibeles, it formed part of the decoration for the &#39;Salón del Prado&#39; exhibition, a project commissioned by King Charles III. Plaza de Neptuno occupies a central spot in the Paseo del Prado, where the Westin Palace and the Ritz -two of Madrid&#39;s most historic hotels- are situated.","Paseo del Prado | Plaza de Canovas del Castillo, 28014 Madrid, España",144,163,49,3,3
San Jerónimo el Real,"&quot;Los Jerónimos&quot;, as it was popularly known, was one of Madrid&#39;s most important convents. Beside it was the Cuarto Real, subsequently enlarged to become the Palacio del Buen Retiro in the time of Philip IV.Of the convent, only the church, behind the Prado Museum, and a cloister remain today. The latter deteriorated badly during the nineteenth century and, following an agreement with the ecclesiastical authorities, it was restored and became part of the Prado Museum in the extension designed by architect Rafael Moneo. Because of its external appearance the cloister is known popularly as the &quot;Moneo Cube&quot;.","Calle Moreto 4, 28014 Madrid, España",89,97,27,2,0
Faro de Moncloa,"CLOSED DUE TO WIND UNTIL FURTHER NOTICEAs the expression goes,&nbsp;From Madrid to heaven, because once you&#39;ve been to Madrid the only place that can top it is paradise itself. Enjoy the city from up high, taking in the wonderful views the Faro de Moncloa affords. Step into the panoramic lift that takes you up 92 metres to the observation deck which stands tall over the heart of Madrid&#39;s Ciudad Universitaria. This former transmission tower was built by architect Salvador Pérez Arroyo in 1992, the year in which the city was named European Capital of Culture, and stands at 110 metres tall.Going up to the Faro de Moncloa observation deck is quite an experience. Just let your gaze wander through the huge glass windows. A whole series of monuments stretches out in front of you: the Royal Palace, La Almudena Cathedral, the Telefónica building on Gran Vía, the Cuatro Torres Business Area and, in the background, the peaks of the Sierra de Guadarrama mountain range. On clear days you can see for a hundred kilometres.Information panels describe the city&#39;s growth over the course of its history, and feature scale drawings of the main buildings visible from the observation deck, together with details about their construction and a few interesting facts, in Spanish and English. Edifices that can be seen include Torrespaña, Cibeles Palace, the San Isidro Cemetery, or the &quot;Crown of Thorns&quot; historical heritage centre.MONDAYS, CLOSED (except on holidays, long weekends and special openings: 24 June, 2 September, 9, 23, and 30 December&nbsp; 2019, 6 January 2020).Museum of the AmericasRight next door to Faro de Moncloa you&#39;ll find this fascinating museum, which houses collections from a number of cultures from across the American continent, including the Quimbaya Treasure, the most important set of precious metals from the Americas.- Download our useful brochure with information about the Faro de Moncloa (PDF) (Spanish / English) (2.7&nbsp;MB)- Click here to check if the Faro de Moncloa is open today.- Click here to book your tickets&nbsp;&nbsp;","Avenida Arco de La victoria 2, 28040 Madrid, España",98,122,38,12,15
Congreso de los Diputados,"The Palacio de las Cortes Españolas, Spain&rsquo;s parliament, in the Plaza de las Cortes, was built on the site of the former convent of Espíritu Santo. No longer occupied by the monks, it was used as the headquarters for the Congress between 1834 and 1841, before which time the Congress had no fixed address. The tender put out for the construction of the current building was awarded to the architect Narciso Pascual y Colomer, and construction work was finished in 1850. On the main façade, a flight of stairs climbs up to the neoclassical portico It features six imposing fluted Corinthian columns which support the triangular pediment, decorated with reliefs by Ponciano Ponzano. The symbolic lions flanking the entrance are by the same sculptor and were cast using the iron from cannons captured during the Spanish-Moroccan War. Underneath the pediment is the engraved bronze main door, which is only opened on special occasions.The many rooms of the building, which was built on a symmetrical ground plan, include the well-known assembly hall (salón de sesiones), the library and the conference hall, better known as the salón de los pasos perdidos, (the hall of lost steps). Valuable portraits, tapestries and furniture decorate the headquarters of the Spanish parliament, which has undergone various extensions in recent decades to connect it to the adjoining buildings. To organize a group guided tour, contact (+34) 91 390 65 25, (+34) 91 390 65 26 or guias.congreso@sgral.congreso.esWhat does this guided visit include?After entering through Puerta de los Leones, and from the main Vestibule, known as Vestíbulo de Isabel II, you will go through the Salón de los Pasos Perdids, the Escritorio del Reloj and Escritorio de la Constitución arriving to Hemiciclo where the plenary sessions are celebrated. There you can see the recent renovations that have covered most of the signs of the bullet holes from the famous shooting of the 1981 Coup. The visit continues through the Portrait Gallery (Galería de los Retratos) of the first floor, Sala Mariana Pineda and the very Sala Constitucional (Constitutional Chamber).The Open-Door Days are on the week of 8 of December, the Day of the Spanish Constitution&nbsp;","Calle Mariblanca s/n, 28026 Madrid, España",40,46,14,2,1
Iglesia de San Ginés,"The church of San Ginés is in Calle Arenal and is dedicated to the French saint Genès d&#39;Arles. This is one of the oldest churches in Madrid, built in 1645 on the site of what is thought to be a Mozarabic chapel. Built to a design by Juan Ruiz, the church has undergone several restorations and changes to its appearance throughout its history.The tile and brick facade you see today dates back to 1870, but it was originally neo-Plateresque, and after being destroyed during the Spanish Civil War, the decorative features were removed as part of restoration work carried out following the conflict.&nbsp; Its arched entrance porch opens into an interior with three naves and side chapels, including the Santísimo Cristo chapel.&nbsp;San Ginés church has an impressive artistic heritage with the most important being the painting Purification of the Temple by El Greco. You can see the painting every day except Wednesday not coinciding with the mass.","Calle Arenal 13 | Puerta del Sol, 28013 Madrid, España",30,42,9,0,1
Edificio Telefónica,"The Telefónica Building was officially opened in 1930 as part of the project to build the Gran Vía; back then it was Europe&#39;s tallest building, standing nearly 90 metres high, and its design was inspired by the skyscrapers of America. It became the country&#39;s most important communications centre and a workplace for more than 1,800 employees, including the famous switchboard operators. The first transatlantic telephone call in Spain was made from here, connecting King Alfonso XIII with United States president Calvin Coolidge.During the Spanish Civil War, the building&#39;s strategic position and impressive size made it both a target for enemy bombs and an air-raid shelter for the people of Madrid. It was also a working base for foreign correspondents covering the war, such as Ernest Hemingway and John Dos Passos, who sent their reports from here.Nowadays, the Telefónica Building is home to the Espacio Fundación Telefónica, a centre for cultural activity and debate, hosting exhibitions, workshops and meetings, especially events focusing on cutting-edge art and technology.","Calle Gran Via 28, 28004 Madrid, España",32,31,13,1,1
Puente de Segovia,"This is the oldest bridge in Madrid and it crosses over the Manzanares River on the way from Segovia, one of the main access points to the capital. Its construction began in 1574, according to the Provision of Philip II, by Construction Foreman Gaspar de Vega, who made the designs and established the conditions of execution. Upon the architect’s death in 1577, with the bridge only at its foundations, Juan de Herrera took charge of the project and created new designs. He changed the medieval designs and planned the first modern bridge: the gradient is horizontal. The bridge is formed by nine semicircular arches and built with granite ashlars.&nbsp;The Bridge has undergone several repairs throughout its history, with the intervention of notable architects. Between 1935 and 1943, it was worked on by the Gabinete de Accesos y Extrarradio and after the Civil War by the Jefatura de Obras Públicas. In the latter’s name, engineer Vicente Olmos increased the width from 28 to 101 feet, dividing the bridge in two and opening it.Between 1955 and 1960, the same engineer restored the original elevations for the channelling of the Manzanares by digging up pillars and adding new lateral arches with its basins. As the Bridge was affected by the layout of the M-30, architects Pérez-Aciego and Quesada carried out remodelling projects for the access and lateral roads in 1985.","Paseo de la Virgen del Puerto | Puerta del Angel, Madrid, España",24,25,8,2,0
Puerta de Toledo,"The Puerta de Toledo gate was built to commemorate the arrival in Madrid of Fernando VII, &#39;the Desired One&#39;. It appears that the project for the gate was carried out under the reign of José Bonaparte, although the return of Fernando VII to the throne put it on halt; its construction was later entrusted to Antonio López Aguado. López Aguado used granite and stone from Colmenar to build a gate in Neo-Roman style and it was completed in 1827. With three arches, two lateral square arches and one central semi-circular arch, the Puerta de Toledo gate has openings flanked by half-columns with Ionic capitals in the central arch and Ionic pilasters in the others.On the side facing the Manzanares River, a group of sculptures made by Valeriano Salvatierra and Ramón Barba was installed above the central arch. These sculptures represent the power of the Spanish monarchy on both hemispheres. Also on this side, in the upper part of the other two arches, several military trophies were placed. Finally, on the opposite side of the monument, two angels support the emblem of the City of Madrid.","Madrid, España",57,88,69,5,1
Plaza Colón,"This famous square in the city centre, dedicated to the man who discovered America, is one of Madrid&#39;s most important open spaces and a strategic location, leading out to prominent streets such as El Paseo de Recoletos, El Paseo de la Castellana, Calle Génova, Calle Serrano and Calle Goya. It is also home to eminent buildings such as the Torres de Colón.A monument to Christopher Columbus presides over the square from the centre of the fountain around which the traffic flows. This Neo Gothic white marble statue, together with its impressive stone pedestal, measures 17 metres and was built in 1885 by Jerónimo Suñol, to mark the marriage of Alfonso XII to María de las Mercedes de Orleans.The square is also home to the Jardines del Descubrimiento, a park that first opened back in 1970, where you can admire various sculptures as well as a monument dedicated to the discovery of America. Underground, you will find the Fernán Gómez Cultural Centre.&nbsp;","Plaza Colon, Madrid, España",54,104,76,8,2
Cuatro Torres Business Area,"These four skyscrapers constitute a business complex built on the grounds of the old Real Madrid sports complex. The four towers are the Foster Tower, the PWC Tower, Torre Cristal and Torre Espacio. These skyscrapers accommodate mostly offices, but there are also services such as a hotel and a garden. Furthermore, each tower has several underground levels for parking and road access. The construction of these four buildings began in 2004 and work was completed in 2008. Over 820 feet high, the Foster Tower is the tallest of the complex, and in Spain as well. It was designed by Norman Foster. The floors are organized in the same manner as a bookcase.Argentinean architect César Pelli is the author of the Torre Cristal project, which is 816 feet tall. Its highest point is intended to house a garden. The PWC Tower is 775 feet tall, with 52 floors. The building, designed by Carlos Rubio Carvajal and Enrique Álvarez-Sala Walter, is the only one of the four which was designed by Spanish architects. It will accommodate a 5-star luxury hotel that will occupy the first 31 floors, and will have a two-storey restaurant with a panoramic view of the city. With more than fifty floors, Torre Espacio stands 731 feet-tall.","Paseo de la Castellana, Madrid, España",35,22,6,3,1
La Tabacalera de Lavapiés,"The former Embajadores Tobacco Factory is home to this self-managed &nbsp;social centre, a place where theatre, music, dance, painting, conferences, meetings, workshops, audiovisual presentations, neighbourhood interventions and any type of cultural activity is scheduled, all with the common dominator of being joint, public and related to social transformation. The Centre is open for the direct participation of all citizens. Any individual or group of people can request the use of a space to carry out a non-profit project, provided that they get involved in the maintenance and work with a solidarity spirit.The CSA La Tabacalera is located alongside Tabacalera Art Promotion, a cultural space managed by the Ministry for Sport and Culture&rsquo;s Sub-Directorate General for the Promotion of Fine Arts, which develops a permanent programme of temporary exhibitions and activities around photography, contemporary art and the visual arts. &nbsp;","Calle Embajadores 53, 28012 Madrid, España",36,19,9,2,4
Iglesia de Nuestra Señora de la Concepción,"Work began on this beautiful church in 1902, following a project by the architect Eugenio Jiménez Corera, and it was finished after his death by Jesús Carrasco in 1914. It is located on Calle Goya, in the heart of the Salamanca district.With regard to the building, it was built in Neo-Gothic style over the longitudinal plan of three naves. What most attracts our attention is the huge 44-metre-high tower at its foot, crowned by a large iron spike upon which there is an image of the Virgin Mary. According to Pedro de Répide, this was at first surrounded by a halo of electric lightbulbs, which was more appropriate for the entrance to a theatre than to a sacred place. The building was complete with a rectory and a parish school, located to each side of the apse.","Calle Goya 26 | C/ De Nunez De Balboa, 28001 Madrid, España",17,25,2,0,0
Capilla del Obispo,"Dedicated to Our Lady and San Juan de Letrán the chapel takes the name of Capilla de Nuestra Señora y San Juan de Letrán (Chapel of Our Lady and San Juan de Letrán). It is located over an older chapel, possibly built by Alfonso VIII, on a plot in La Latina, owned almost entirely by one of the most powerful families in Madrid, the Vargas family.&nbsp;It was precisely a member of this family, Francisco de Vargas, who commissioned the building of the chapel in 1520. Work was finished on it in 1535 by his son Don Gutierre de Vargas y Carvajal, the Bishop of Plasencia, and from whom the chapel took the name by which it is most popularly known, since its real name is the Chapel of San Juan de Letrán.It is a splendid building, representing the transition from the Gothic style (nave and apse, roof with Gothic ribbed vaults) to the Renaissance style (door and interior decoration). Built as a chapel belonging to the church of San Andrés, to which it was originally joined, inside it has a magnificent main altarpiece, the work of Francisco de Giralte from Palencia and a disciple of Berruguete, who completed it around 1550 with the collaboration of Juan Villoldo el Mozo, who did the colouring work.","Plaza Paja 9, 28005 Madrid, España",24,11,1,0,0
